"","y2_statefips","y2_countyfips","y1_countyname","Inflow","Year","Outflow"
"88",40,0,"Total Migration-US and Foreign",228969,2012,219957
"89",41,0,"Total Migration-US and Foreign",210761,2012,199750
"90",42,0,"Total Migration-US and Foreign",427982,2012,450509
"91",44,0,"Total Migration-US and Foreign",39420,2012,42497
"92",45,0,"Total Migration-US and Foreign",274261,2012,245087
"93",46,0,"Total Migration-US and Foreign",54621,2012,52493
"94",47,0,"Total Migration-US and Foreign",353406,2012,338588
"95",48,0,"Total Migration-US and Foreign",1551243,2012,1398341
"96",49,0,"Total Migration-US and Foreign",155161,2012,156592
"97",50,0,"Total Migration-US and Foreign",26940,2012,27838
"98",51,0,"Total Migration-US and Foreign",604051,2012,609441
"99",53,0,"Total Migration-US and Foreign",369357,2012,351178
"100",54,0,"Total Migration-US and Foreign",72161,2012,74046
"101",55,0,"Total Migration-US and Foreign",240050,2012,246999
"102",56,0,"Total Migration-US and Foreign",41187,2012,41001
"103",1,0,"Total Migration-US and Foreign",214556,2013,218437
"104",2,0,"Total Migration-US and Foreign",44323,2013,52095
"105",4,0,"Total Migration-US and Foreign",269330,2013,246201
"106",5,0,"Total Migration-US and Foreign",142984,2013,147473
"107",6,0,"Total Migration-US and Foreign",1299997,2013,1359127
"108",8,0,"Total Migration-US and Foreign",392624,2013,363015
"109",9,0,"Total Migration-US and Foreign",108732,2013,126390
"110",10,0,"Total Migration-US and Foreign",35628,2013,33939
"111",11,0,"Total Migration-US and Foreign",38613,2013,42996
"112",12,0,"Total Migration-US and Foreign",1072379,2013,956662
"113",13,0,"Total Migration-US and Foreign",681959,2013,668203
"114",15,0,"Total Migration-US and Foreign",59850,2013,63849
"115",16,0,"Total Migration-US and Foreign",94311,2013,88183
"116",17,0,"Total Migration-US and Foreign",434664,2013,517545
"117",18,0,"Total Migration-US and Foreign",289141,2013,295235
"118",19,0,"Total Migration-US and Foreign",129558,2013,132216
"119",20,0,"Total Migration-US and Foreign",140843,2013,151920
"120",21,0,"Total Migration-US and Foreign",200828,2013,208597
"121",22,0,"Total Migration-US and Foreign",214266,2013,222273
"122",23,0,"Total Migration-US and Foreign",51132,2013,49704
"123",24,0,"Total Migration-US and Foreign",299966,2013,303065
"124",25,0,"Total Migration-US and Foreign",239806,2013,259284
"125",26,0,"Total Migration-US and Foreign",375692,2013,400279
"126",27,0,"Total Migration-US and Foreign",262291,2013,271443
"127",28,0,"Total Migration-US and Foreign",147775,2013,156127
"128",29,0,"Total Migration-US and Foreign",298977,2013,306392
"129",30,0,"Total Migration-US and Foreign",53271,2013,49964
"130",31,0,"Total Migration-US and Foreign",87750,2013,90286
"131",32,0,"Total Migration-US and Foreign",125928,2013,110110
"132",33,0,"Total Migration-US and Foreign",60558,2013,59548
"133",34,0,"Total Migration-US and Foreign",336988,2013,383551
"134",35,0,"Total Migration-US and Foreign",95909,2013,105723
"135",36,0,"Total Migration-US and Foreign",649285,2013,777527
"136",37,0,"Total Migration-US and Foreign",535957,2013,514746
"137",38,0,"Total Migration-US and Foreign",50623,2013,45055
"138",39,0,"Total Migration-US and Foreign",423508,2013,442182
"139",40,0,"Total Migration-US and Foreign",211476,2013,208062
"140",41,0,"Total Migration-US and Foreign",203639,2013,184745
"141",42,0,"Total Migration-US and Foreign",398434,2013,426515
"142",44,0,"Total Migration-US and Foreign",36266,2013,40264
"143",45,0,"Total Migration-US and Foreign",261790,2013,231435
"144",46,0,"Total Migration-US and Foreign",49065,2013,49485
"145",47,0,"Total Migration-US and Foreign",332673,2013,316123
"146",48,0,"Total Migration-US and Foreign",1573243,2013,1342077
"147",49,0,"Total Migration-US and Foreign",146747,2013,149485
"148",50,0,"Total Migration-US and Foreign",25087,2013,26339
"149",51,0,"Total Migration-US and Foreign",562600,2013,588161
"150",53,0,"Total Migration-US and Foreign",351250,2013,324186
"151",54,0,"Total Migration-US and Foreign",67306,2013,71032
"152",55,0,"Total Migration-US and Foreign",221911,2013,232360
"153",56,0,"Total Migration-US and Foreign",35323,2013,36852
"154",1,0,"Total Migration-US and Foreign",163579,2014,165210
"155",2,0,"Total Migration-US and Foreign",33443,2014,35581
"156",4,0,"Total Migration-US and Foreign",197099,2014,179957
"157",5,0,"Total Migration-US and Foreign",109994,2014,111535
"158",6,0,"Total Migration-US and Foreign",1020720,2014,1064882
"159",8,0,"Total Migration-US and Foreign",293833,2014,265341
"160",9,0,"Total Migration-US and Foreign",81461,2014,94260
"161",10,0,"Total Migration-US and Foreign",27366,2014,25141
"162",11,0,"Total Migration-US and Foreign",31300,2014,32252
"163",12,0,"Total Migration-US and Foreign",832613,2014,716580
"164",13,0,"Total Migration-US and Foreign",533625,2014,513752
"165",15,0,"Total Migration-US and Foreign",46391,2014,45014
"166",16,0,"Total Migration-US and Foreign",66867,2014,63433
"167",17,0,"Total Migration-US and Foreign",321494,2014,372488
"168",18,0,"Total Migration-US and Foreign",207721,2014,212644
"169",19,0,"Total Migration-US and Foreign",90681,2014,92149
"170",20,0,"Total Migration-US and Foreign",99419,2014,104325
"171",21,0,"Total Migration-US and Foreign",150042,2014,153908
"172",22,0,"Total Migration-US and Foreign",171545,2014,175283
"173",23,0,"Total Migration-US and Foreign",35395,2014,36559
"174",24,0,"Total Migration-US and Foreign",222613,2014,235654
"175",25,0,"Total Migration-US and Foreign",178562,2014,192118
"176",26,0,"Total Migration-US and Foreign",270273,2014,286791
"177",27,0,"Total Migration-US and Foreign",185721,2014,190852
"178",28,0,"Total Migration-US and Foreign",118684,2014,124458
"179",29,0,"Total Migration-US and Foreign",217746,2014,223218
"180",30,0,"Total Migration-US and Foreign",37632,2014,35615
"181",31,0,"Total Migration-US and Foreign",61479,2014,62489
"182",32,0,"Total Migration-US and Foreign",99135,2014,79470
"183",33,0,"Total Migration-US and Foreign",43369,2014,43010
"184",34,0,"Total Migration-US and Foreign",263838,2014,298428
"185",35,0,"Total Migration-US and Foreign",76769,2014,82646
"186",36,0,"Total Migration-US and Foreign",529818,2014,623987
"187",37,0,"Total Migration-US and Foreign",400629,2014,379839
"188",38,0,"Total Migration-US and Foreign",40023,2014,34179
"189",39,0,"Total Migration-US and Foreign",303147,2014,317374
"190",40,0,"Total Migration-US and Foreign",159577,2014,157087
"191",41,0,"Total Migration-US and Foreign",150863,2014,136216
"192",42,0,"Total Migration-US and Foreign",292190,2014,309799
"193",44,0,"Total Migration-US and Foreign",27048,2014,29864
"194",45,0,"Total Migration-US and Foreign",195634,2014,174464
"195",46,0,"Total Migration-US and Foreign",34790,2014,34408
"196",47,0,"Total Migration-US and Foreign",249723,2014,235894
"197",48,0,"Total Migration-US and Foreign",1184904,2014,1120595
"198",49,0,"Total Migration-US and Foreign",106727,2014,105372
"199",50,0,"Total Migration-US and Foreign",18353,2014,19466
"200",51,0,"Total Migration-US and Foreign",412303,2014,411876
"201",53,0,"Total Migration-US and Foreign",266513,2014,237894
"202",54,0,"Total Migration-US and Foreign",50413,2014,53468
"203",55,0,"Total Migration-US and Foreign",153676,2014,161218
"204",56,0,"Total Migration-US and Foreign",25368,2014,25215
"205",1,0,"Total Migration-US and Foreign",207334,2015,205077
"206",2,0,"Total Migration-US and Foreign",43248,2015,48661
"207",4,0,"Total Migration-US and Foreign",284162,2015,237254
"208",5,0,"Total Migration-US and Foreign",143807,2015,142779
"209",6,0,"Total Migration-US and Foreign",1325054,2015,1417926
"210",8,0,"Total Migration-US and Foreign",423282,2015,388651
"211",9,0,"Total Migration-US and Foreign",111359,2015,131538
"212",10,0,"Total Migration-US and Foreign",36889,2015,33801
"213",11,0,"Total Migration-US and Foreign",39880,2015,45168
"214",12,0,"Total Migration-US and Foreign",1118871,2015,927927
"215",13,0,"Total Migration-US and Foreign",687989,2015,649353
"216",15,0,"Total Migration-US and Foreign",57738,2015,66755
"217",16,0,"Total Migration-US and Foreign",102609,2015,87082
"218",17,0,"Total Migration-US and Foreign",435119,2015,522956
"219",18,0,"Total Migration-US and Foreign",294905,2015,299162
"220",19,0,"Total Migration-US and Foreign",135806,2015,138899
"221",20,0,"Total Migration-US and Foreign",140319,2015,155735
"222",21,0,"Total Migration-US and Foreign",201320,2015,205268
"223",22,0,"Total Migration-US and Foreign",204564,2015,215302
"224",23,0,"Total Migration-US and Foreign",53974,2015,51080
"225",24,0,"Total Migration-US and Foreign",301706,2015,322701
"226",25,0,"Total Migration-US and Foreign",253717,2015,281567
"227",26,0,"Total Migration-US and Foreign",382024,2015,394204
"228",27,0,"Total Migration-US and Foreign",283199,2015,284328
"229",28,0,"Total Migration-US and Foreign",140305,2015,146396
"230",29,0,"Total Migration-US and Foreign",304022,2015,308884
"231",30,0,"Total Migration-US and Foreign",54874,2015,49778
"232",31,0,"Total Migration-US and Foreign",90340,2015,92387
"233",32,0,"Total Migration-US and Foreign",132299,2015,105482
"234",33,0,"Total Migration-US and Foreign",66106,2015,62845
"235",34,0,"Total Migration-US and Foreign",347991,2015,395386
"236",35,0,"Total Migration-US and Foreign",92403,2015,100069
"237",36,0,"Total Migration-US and Foreign",644384,2015,811985
"238",37,0,"Total Migration-US and Foreign",562184,2015,513872
"239",38,0,"Total Migration-US and Foreign",45170,2015,53025
"240",39,0,"Total Migration-US and Foreign",438034,2015,457791
"241",40,0,"Total Migration-US and Foreign",202733,2015,206544
"242",41,0,"Total Migration-US and Foreign",230477,2015,194700
"243",42,0,"Total Migration-US and Foreign",409470,2015,442730
"244",44,0,"Total Migration-US and Foreign",38566,2015,42259
"245",45,0,"Total Migration-US and Foreign",276818,2015,236520
"246",46,0,"Total Migration-US and Foreign",49705,2015,48704
"247",47,0,"Total Migration-US and Foreign",341688,2015,315496
"248",48,0,"Total Migration-US and Foreign",1478358,2015,1423244
"249",49,0,"Total Migration-US and Foreign",158865,2015,148649
"250",50,0,"Total Migration-US and Foreign",25872,2015,27594
"251",51,0,"Total Migration-US and Foreign",579021,2015,596495
"252",53,0,"Total Migration-US and Foreign",389006,2015,335670
"253",54,0,"Total Migration-US and Foreign",64054,2015,70139
"254",55,0,"Total Migration-US and Foreign",233748,2015,240963
"255",56,0,"Total Migration-US and Foreign",31441,2015,35125
"256",1,0,"Total Migration-US and Foreign",273891,2016,262071
"257",2,0,"Total Migration-US and Foreign",52320,2016,67894
"258",4,0,"Total Migration-US and Foreign",390334,2016,314906
"259",5,0,"Total Migration-US and Foreign",187908,2016,182818
"260",6,0,"Total Migration-US and Foreign",1696740,2016,1876128
"261",8,0,"Total Migration-US and Foreign",568461,2016,536054
"262",9,0,"Total Migration-US and Foreign",156069,2016,175889
"263",10,0,"Total Migration-US and Foreign",52564,2016,45401
"264",11,0,"Total Migration-US and Foreign",48029,2016,61020
"265",12,0,"Total Migration-US and Foreign",1459368,2016,1267030
"266",13,0,"Total Migration-US and Foreign",895926,2016,849098
"267",15,0,"Total Migration-US and Foreign",73772,2016,94256
"268",16,0,"Total Migration-US and Foreign",149925,2016,118019
"269",17,0,"Total Migration-US and Foreign",579974,2016,713743
"270",18,0,"Total Migration-US and Foreign",409324,2016,406113
"271",19,0,"Total Migration-US and Foreign",185577,2016,189939
"272",20,0,"Total Migration-US and Foreign",186468,2016,205663
"273",21,0,"Total Migration-US and Foreign",272813,2016,272625
"274",22,0,"Total Migration-US and Foreign",246674,2016,275267
"275",23,0,"Total Migration-US and Foreign",77026,2016,67234
"276",24,0,"Total Migration-US and Foreign",407020,2016,433078
"277",25,0,"Total Migration-US and Foreign",345581,2016,381582
"278",26,0,"Total Migration-US and Foreign",533850,2016,536292
"279",27,0,"Total Migration-US and Foreign",403544,2016,393809
"280",28,0,"Total Migration-US and Foreign",173853,2016,181232
"281",29,0,"Total Migration-US and Foreign",415697,2016,416141
"282",30,0,"Total Migration-US and Foreign",74607,2016,65529
"283",31,0,"Total Migration-US and Foreign",120235,2016,126187
"284",32,0,"Total Migration-US and Foreign",181036,2016,138811
"285",33,0,"Total Migration-US and Foreign",93403,2016,85330
"286",34,0,"Total Migration-US and Foreign",478968,2016,525999
"287",35,0,"Total Migration-US and Foreign",115999,2016,123079
"288",36,0,"Total Migration-US and Foreign",819151,2016,1045915
"289",37,0,"Total Migration-US and Foreign",766000,2016,690668
"290",38,0,"Total Migration-US and Foreign",53525,2016,64414
"291",39,0,"Total Migration-US and Foreign",609402,2016,619856
"292",40,0,"Total Migration-US and Foreign",258695,2016,267517
"293",41,0,"Total Migration-US and Foreign",306424,2016,272002
"294",42,0,"Total Migration-US and Foreign",571197,2016,591176
"295",44,0,"Total Migration-US and Foreign",52770,2016,56351
"296",45,0,"Total Migration-US and Foreign",372600,2016,307856
"297",46,0,"Total Migration-US and Foreign",66126,2016,65119
"298",47,0,"Total Migration-US and Foreign",475844,2016,430803
"299",48,0,"Total Migration-US and Foreign",1897195,2016,1798797
"300",49,0,"Total Migration-US and Foreign",218751,2016,206576
"301",50,0,"Total Migration-US and Foreign",36287,2016,36234
"302",51,0,"Total Migration-US and Foreign",783324,2016,805920
"303",53,0,"Total Migration-US and Foreign",535100,2016,476756
"304",54,0,"Total Migration-US and Foreign",82379,2016,90720
"305",55,0,"Total Migration-US and Foreign",334923,2016,334265
"306",56,0,"Total Migration-US and Foreign",37467,2016,46670
"307",1,0,"Total Migration-US and Foreign",217370,2017,208995
"308",2,0,"Total Migration-US and Foreign",38880,2017,47753
"309",4,0,"Total Migration-US and Foreign",311196,2017,245170
"310",5,0,"Total Migration-US and Foreign",146443,2017,144012
"311",6,0,"Total Migration-US and Foreign",1353082,2017,1504618
"312",8,0,"Total Migration-US and Foreign",430536,2017,403696
"313",9,0,"Total Migration-US and Foreign",122388,2017,136837
"314",10,0,"Total Migration-US and Foreign",42125,2017,35111
"315",11,0,"Total Migration-US and Foreign",39780,2017,46553
"316",12,0,"Total Migration-US and Foreign",1168131,2017,1046907
"317",13,0,"Total Migration-US and Foreign",712008,2017,675270
"318",15,0,"Total Migration-US and Foreign",57143,2017,66303
"319",16,0,"Total Migration-US and Foreign",116096,2017,93316
"320",17,0,"Total Migration-US and Foreign",441177,2017,528806
"321",18,0,"Total Migration-US and Foreign",315011,2017,308610
"322",19,0,"Total Migration-US and Foreign",135653,2017,138133
"323",20,0,"Total Migration-US and Foreign",139598,2017,149438
"324",21,0,"Total Migration-US and Foreign",208328,2017,208078
"325",22,0,"Total Migration-US and Foreign",199173,2017,218942
"326",23,0,"Total Migration-US and Foreign",58922,2017,52922
"327",24,0,"Total Migration-US and Foreign",315621,2017,331052
"328",25,0,"Total Migration-US and Foreign",269979,2017,296515
"329",26,0,"Total Migration-US and Foreign",398241,2017,405768
"330",27,0,"Total Migration-US and Foreign",293365,2017,289536
"331",28,0,"Total Migration-US and Foreign",139312,2017,145806
"332",29,0,"Total Migration-US and Foreign",314630,2017,315602
"333",30,0,"Total Migration-US and Foreign",55078,2017,51427
"334",31,0,"Total Migration-US and Foreign",89327,2017,93282
"335",32,0,"Total Migration-US and Foreign",147582,2017,110278
"336",33,0,"Total Migration-US and Foreign",70450,2017,65967
"337",34,0,"Total Migration-US and Foreign",384948,2017,417836
"338",35,0,"Total Migration-US and Foreign",92827,2017,94749
"339",36,0,"Total Migration-US and Foreign",683249,2017,842729
"340",37,0,"Total Migration-US and Foreign",593566,2017,536588
"341",38,0,"Total Migration-US and Foreign",41380,2017,45054
"342",39,0,"Total Migration-US and Foreign",455662,2017,461977
"343",40,0,"Total Migration-US and Foreign",205128,2017,204890
"344",41,0,"Total Migration-US and Foreign",225775,2017,207039
"345",42,0,"Total Migration-US and Foreign",440147,2017,450244
"346",44,0,"Total Migration-US and Foreign",41275,2017,43264
"347",45,0,"Total Migration-US and Foreign",291989,2017,247128
"348",46,0,"Total Migration-US and Foreign",50335,2017,49506
"349",47,0,"Total Migration-US and Foreign",371801,2017,339019
"350",48,0,"Total Migration-US and Foreign",1511582,2017,1430975
"351",49,0,"Total Migration-US and Foreign",167378,2017,159799
"352",50,0,"Total Migration-US and Foreign",26865,2017,27328
"353",51,0,"Total Migration-US and Foreign",596484,2017,602950
"354",53,0,"Total Migration-US and Foreign",405646,2017,375592
"355",54,0,"Total Migration-US and Foreign",64447,2017,68637
"356",55,0,"Total Migration-US and Foreign",243100,2017,242545
"357",56,0,"Total Migration-US and Foreign",29915,2017,31735
"358",1,1,"Autauga County Total Migration-US and Foreign",4307,2018,3960
"359",1,3,"Baldwin County Total Migration-US and Foreign",12508,2018,8083
"360",1,5,"Barbour County Total Migration-US and Foreign",814,2018,839
"361",1,7,"Bibb County Total Migration-US and Foreign",802,2018,803
"362",1,9,"Blount County Total Migration-US and Foreign",2441,2018,2184
"363",1,11,"Bullock County Total Migration-US and Foreign",293,2018,355
"364",1,13,"Butler County Total Migration-US and Foreign",593,2018,666
"365",1,15,"Calhoun County Total Migration-US and Foreign",4031,2018,4431
"366",1,17,"Chambers County Total Migration-US and Foreign",1363,2018,1766
"367",1,19,"Cherokee County Total Migration-US and Foreign",1157,2018,963
"368",1,21,"Chilton County Total Migration-US and Foreign",1550,2018,1507
"369",1,23,"Choctaw County Total Migration-US and Foreign",254,2018,319
"370",1,25,"Clarke County Total Migration-US and Foreign",626,2018,836
"371",1,27,"Clay County Total Migration-US and Foreign",456,2018,561
"372",1,29,"Cleburne County Total Migration-US and Foreign",653,2018,545
"373",1,31,"Coffee County Total Migration-US and Foreign",4058,2018,3716
"374",1,33,"Colbert County Total Migration-US and Foreign",2551,2018,2258
"375",1,35,"Conecuh County Total Migration-US and Foreign",438,2018,515
"376",1,37,"Coosa County Total Migration-US and Foreign",576,2018,555
"377",1,39,"Covington County Total Migration-US and Foreign",1295,2018,1047
"378",1,41,"Crenshaw County Total Migration-US and Foreign",516,2018,600
"379",1,43,"Cullman County Total Migration-US and Foreign",3047,2018,2511
"380",1,45,"Dale County Total Migration-US and Foreign",4683,2018,4816
"381",1,47,"Dallas County Total Migration-US and Foreign",771,2018,1415
"382",1,49,"DeKalb County Total Migration-US and Foreign",2398,2018,2281
"383",1,51,"Elmore County Total Migration-US and Foreign",4803,2018,4523
"384",1,53,"Escambia County Total Migration-US and Foreign",1215,2018,1261
"385",1,55,"Etowah County Total Migration-US and Foreign",3194,2018,3361
"386",1,57,"Fayette County Total Migration-US and Foreign",578,2018,613
"387",1,59,"Franklin County Total Migration-US and Foreign",1114,2018,1158
"388",1,61,"Geneva County Total Migration-US and Foreign",1200,2018,1127
"389",1,63,"Greene County Total Migration-US and Foreign",233,2018,341
"390",1,65,"Hale County Total Migration-US and Foreign",618,2018,669
"391",1,67,"Henry County Total Migration-US and Foreign",940,2018,773
"392",1,69,"Houston County Total Migration-US and Foreign",5361,2018,4878
"393",1,71,"Jackson County Total Migration-US and Foreign",1790,2018,1612
"394",1,73,"Jefferson County Total Migration-US and Foreign",21522,2018,24092
"395",1,75,"Lamar County Total Migration-US and Foreign",411,2018,459
"396",1,77,"Lauderdale County Total Migration-US and Foreign",3401,2018,3166
"397",1,79,"Lawrence County Total Migration-US and Foreign",1256,2018,1181
"398",1,81,"Lee County Total Migration-US and Foreign",8651,2018,8426
"399",1,83,"Limestone County Total Migration-US and Foreign",6687,2018,4412
"400",1,85,"Lowndes County Total Migration-US and Foreign",496,2018,611
"401",1,87,"Macon County Total Migration-US and Foreign",626,2018,760
"402",1,89,"Madison County Total Migration-US and Foreign",18495,2018,14791
"403",1,91,"Marengo County Total Migration-US and Foreign",639,2018,689
"404",1,93,"Marion County Total Migration-US and Foreign",1165,2018,1011
"405",1,95,"Marshall County Total Migration-US and Foreign",3961,2018,3745
"406",1,97,"Mobile County Total Migration-US and Foreign",9770,2018,11067
"407",1,99,"Monroe County Total Migration-US and Foreign",450,2018,715
"408",1,101,"Montgomery County Total Migration-US and Foreign",9395,2018,10931
"409",1,103,"Morgan County Total Migration-US and Foreign",4856,2018,4579
"410",1,105,"Perry County Total Migration-US and Foreign",257,2018,420
"411",1,107,"Pickens County Total Migration-US and Foreign",486,2018,626
"412",1,109,"Pike County Total Migration-US and Foreign",1091,2018,1384
"413",1,111,"Randolph County Total Migration-US and Foreign",834,2018,779
"414",1,113,"Russell County Total Migration-US and Foreign",5398,2018,5249
"415",1,115,"St. Clair County Total Migration-US and Foreign",4752,2018,3955
"416",1,117,"Shelby County Total Migration-US and Foreign",12688,2018,10896
"417",1,119,"Sumter County Total Migration-US and Foreign",287,2018,442
"418",1,121,"Talladega County Total Migration-US and Foreign",3245,2018,3118
"419",1,123,"Tallapoosa County Total Migration-US and Foreign",1793,2018,1765
"420",1,125,"Tuscaloosa County Total Migration-US and Foreign",6978,2018,6920
"421",1,127,"Walker County Total Migration-US and Foreign",1947,2018,1874
"422",1,129,"Washington County Total Migration-US and Foreign",535,2018,599
"423",1,131,"Wilcox County Total Migration-US and Foreign",277,2018,430
"424",1,133,"Winston County Total Migration-US and Foreign",1002,2018,999
"425",2,13,"Aleutians East Borough Total Migration-US and Foreign",52,2018,125
"426",2,16,"Aleutians West Census Area Total Migration-US and Foreign",206,2018,291
"427",2,20,"Anchorage Municipality Total Migration-US and Foreign",14280,2018,18189
"428",2,50,"Bethel Census Area Total Migration-US and Foreign",449,2018,617
"429",2,60,"Bristol Bay Borough Total Migration-US and Foreign",35,2018,50
"430",2,68,"Denali Borough Total Migration-US and Foreign",158,2018,163
"431",2,70,"Dillingham Census Area Total Migration-US and Foreign",122,2018,188
"432",2,90,"Fairbanks North Star Borough Total Migration-US and Foreign",6956,2018,9232
"433",2,100,"Haines Borough Total Migration-US and Foreign",123,2018,97
"434",2,105,"Hoonah-Angoon Census Area Total Migration-US and Foreign",86,2018,92
"435",2,110,"Juneau City and Borough Total Migration-US and Foreign",1384,2018,1778
"436",2,122,"Kenai Peninsula Borough Total Migration-US and Foreign",2839,2018,2656
"437",2,130,"Ketchikan Gateway Borough Total Migration-US and Foreign",595,2018,719
"438",2,150,"Kodiak Island Borough Total Migration-US and Foreign",985,2018,1156
"439",2,158,"Kusilvak Census Area Total Migration-US and Foreign",101,2018,185
"440",2,164,"Lake and Peninsula Borough Total Migration-US and Foreign",52,2018,97
"441",2,170,"Matanuska-Susitna Borough Total Migration-US and Foreign",5849,2018,5278
"442",2,180,"Nome Census Area Total Migration-US and Foreign",179,2018,299
"443",2,185,"North Slope Borough Total Migration-US and Foreign",225,2018,255
"444",2,188,"Northwest Arctic Borough Total Migration-US and Foreign",96,2018,244
"445",2,195,"Petersburg Census Area Total Migration-US and Foreign",121,2018,126
"446",2,220,"Sitka City and Borough Total Migration-US and Foreign",504,2018,498
"447",2,230,"Skagway Municipality Total Migration-US and Foreign",117,2018,76
